# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,0.0,0.0,0.0,0,1.0,0,0.0,0.0,0.0
 0.15522577230889953,0.012047520194447162,0.0,0.0,0.15522577230889956,1.0000000000000002,0,0.0,0.0,0.0
 0.2199514373727574,0.024189317401171015,0.0,0.0,0.2199514373727574,0.9999999999999996,0,0.0,0.0,0.0
 0.26990460001728434,0.03642424655524512,0.0,0.0,0.26990460001728434,1.0,0,0.0,0.0,0.0
 0.31225362317111083,0.04875116259174304,0.0,0.0,0.31225362317111083,1.0,0,0.0,0.0,0.0
 0.3497682674164091,0.06116892044573834,0.0,0.0,0.3497682674164091,1.0,0,0.0,0.0,0.0
 0.38386553648980937,0.07367637505230458,0.0,0.0,0.3838655364898093,0.9999999999999983,0,0.0,0.0,0.0
 0.41538507760032817,0.08627238134651533,0.0,0.0,0.4153850776003281,1.0,0,0.0,0.0,0.0
 0.44487255312829566,0.09895579426344413,0.0,0.0,0.4448725531282956,1.0,0,0.0,0.0,0.0
 0.47270597359915933,0.11172546873816458,0.0,0.0,0.47270597359915933,1.000000000000002,0,0.0,0.0,0.0
 0.4991598134981425,0.12458025970575022,0.0,0.0,0.49915981349814253,1.000000000000002,0,0.0,0.0,0.0
 0.5244406965544809,0.1375190221012746,0.0,0.0,0.524440696554481,1.0000000000000022,0,0.0,0.0,0.0
 0.5487086856608182,0.15054061085981132,0.0,0.0,0.5487086856608183,1.0,0,0.0,0.0,0.0
 0.5720906937128656,0.16364388091643392,0.0,0.0,0.5720906937128657,1.0,0,0.0,0.0,0.0
 0.5946893091459033,0.17682768720621594,0.0,0.0,0.5946893091459035,1.0,0,0.0,0.0,0.0
 0.6165888170640641,0.190090884664231,0.0,0.0,0.6165888170640642,1.0,0,0.0,0.0,0.0
 0.6378594331442509,0.20343232822555257,0.0,0.0,0.637859433144251,1.0,0,0.0,0.0,0.0
 0.6585603583958789,0.2168508728252543,0.0,0.0,0.658560358395879,1.0,0,0.0,0.0,0.0
 0.6787420325844122,0.23034537339840971,0.0,0.0,0.6787420325844123,1.0,0,0.0,0.0,0.0
 0.6984478289465754,0.24391468488009238,0.0,0.0,0.6984478289465755,1.0,0,0.0,0.0,0.0
 0.7177153505469642,0.2575576622053759,0.0,0.0,0.7177153505469642,0.9999999999999942,0,0.0,0.0,0.0
 0.7365774369464947,0.27127316030933374,0.0,0.0,0.7365774369464947,1.0,0,0.0,0.0,0.0
 0.7550629564838146,0.2850600341270395,0.0,0.0,0.7550629564838146,1.0,0,0.0,0.0,0.0
 0.7731974373904337,0.29891713859356683,0.0,0.0,0.7731974373904337,1.0,0,0.0,0.0,0.0
 0.7910035760273012,0.3128433286439892,0.0,0.0,0.7910035760273011,0.9999999999999938,0,0.0,0.0,0.0
 0.8085016502313156,0.32683745921338025,0.0,0.0,0.8085016502313155,1.0,0,0.0,0.0,0.0
 0.8257098585299965,0.3408983852368134,0.0,0.0,0.8257098585299963,1.0,0,0.0,0.0,0.0
 0.842644600824526,0.3550249616493623,0.0,0.0,0.8426446008245257,0.9999999999999934,0,0.0,0.0,0.0
 0.8593207124073068,0.3692160433861006,0.0,0.0,0.8593207124073066,1.0,0,0.0,0.0,0.0
 0.875751660440449,0.3834704853821017,0.0,0.0,0.8757516604404487,0.9999999999999932,0,0.0,0.0,0.0
 0.8919497099864312,0.3977871425724393,0.0,0.0,0.8919497099864309,1.0,0,0.0,0.0,0.0
 0.9079260651530904,0.4121648698921868,0.0,0.0,0.90792606515309,1.0,0,0.0,0.0,0.0
 0.9236909897540606,0.42660252227641804,0.0,0.0,0.9236909897540603,1.0,0,0.0,0.0,0.0
 0.9392539109955371,0.4410989546602062,0.0,0.0,0.9392539109955369,1.000000000000007,0,0.0,0.0,0.0
 0.9546235090114062,0.45565302197862523,0.0,0.0,0.954623509011406,1.0,0,0.0,0.0,0.0
